Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
141,Jaden McDaniels,PF,25,MIN,12,12,406,78,176,.443,10,42,.238,68,134,.507,.472,30,35,.857,28,41,69,29,6,8,17,53,196,mcdanja02
142,Jordan McLaughlin,PG,29,SAS,10,0,46,7,11,.636,3,5,.600,4,6,.667,.773,2,2,1.000,2,6,8,10,2,0,2,3,19,mclaujo01
143,Sam Merrill,SG,29,CLE,17,0,338,41,96,.427,29,78,.372,12,18,.667,.578,21,25,.840,8,13,21,19,8,0,9,40,132,merrisa01
144,Ajay Mitchell,SG,23,OKC,11,7,317,63,137,.460,13,40,.325,50,97,.515,.507,27,30,.900,13,28,41,47,17,1,15,20,166,mitchaj01
145,Donovan Mitchell,SG,29,CLE,18,18,652,171,379,.451,51,156,.327,120,223,.538,.518,75,92,.815,15,72,87,55,21,5,47,55,468,mitchdo01
146,Evan Mobley,PF,24,CLE,18,18,640,114,213,.535,24,71,.338,90,142,.634,.592,54,87,.621,37,108,145,70,17,32,41,43,306,mobleev01
147,Jonathan Mogbo,PF,24,TOR,3,0,4,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,4,mogbojo01
148,Jamal Murray,PG,28,DEN,6,6,238,46,129,.357,11,42,.262,35,87,.402,.399,39,40,.975,7,23,30,34,5,2,13,10,142,murraja01
149,Kris Murray,SF,25,POR,5,0,25,2,4,.500,0,2,.000,2,2,1.000,.500,1,2,.500,1,2,3,0,0,0,3,3,5,murrakr01
150,Collin Murray-Boyles,PF,20,TOR,7,0,191,42,64,.656,0,3,.000,42,61,.689,.656,17,22,.773,21,24,45,17,9,8,13,16,101,murraco01
151,Larry Nance Jr.,PF,33,CLE,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,nancela02
152,Asa Newell,PF,20,ATL,2,0,11,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,1,1,1,0,1,2,newelas01
153,Zeke Nnaji,PF,25,DEN,2,0,19,2,2,1.000,1,1,1.000,1,1,1.000,1.250,5,6,.833,1,2,3,1,1,0,0,3,10,nnajize01
154,Royce O'Neale,SF,32,PHO,4,0,97,9,14,.643,8,13,.615,1,1,1.000,.929,5,6,.833,4,21,25,9,2,1,4,12,31,onealro01
155,Josh Okogie,SG,27,HOU,6,2,104,11,25,.440,5,13,.385,6,12,.500,.540,2,2,1.000,6,8,14,5,7,0,3,12,29,okogijo01
